fecha,cp,minsplit,minbucket,maxdepth,ganancia
20210831 021136,-1,15,4,7,3631250
20210831 021300,-1,15,5,7,3193750
20210831 021420,-1,20,1,7,4185000
20210831 021541,-1,20,2,7,3852500
20210831 021702,-1,20,3,7,3566250
20210831 021824,-1,20,4,7,3658750
20210831 021947,-1,20,5,7,3208750
20210831 022108,-1,30,1,7,4230000
20210831 022230,-1,30,2,7,3897500
20210831 022351,-1,30,3,7,3611250
20210831 022512,-1,30,4,7,3700000
20210831 022634,-1,30,5,7,3193750
20210831 022755,-1,30,6,7,3038750
20210831 022916,-1,50,1,7,4193750
20210831 023038,-1,50,2,7,3852500
20210831 023201,-1,50,3,7,3565000
20210831 023326,-1,50,4,7,3686250
20210831 023448,-1,50,5,7,3217500
20210831 023610,-1,50,10,7,3618750
20210831 023731,-1,100,1,7,4148750
